"col0","col1","col2","input_params","return_value"
"ControlFlowNode for set","findSequenceInfo","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","self|tbl","seqInfo"
"ControlFlowNode for parser","is_date","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:0","input_str","None"
"ControlFlowNode for parser","is_date","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:0","input_str","Attribute()"
"ControlFlowNode for parser","is_date","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:0","input_str","None"
"ControlFlowNode for parser","is_date","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:0","input_str","Attribute()"
"ControlFlowNode for open","returnJsonFeat","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/createJsonFeats.py:0","src_0|src_raw","Tuple"
"ControlFlowNode for open","returnJsonFeat","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/createJsonFeats_safe.py:0","src_0|src_raw","Tuple"
"ControlFlowNode for True","process","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:0","colNum|sheet|tbl","Tuple"
"ControlFlowNode for True","process","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:0","colNum|sheet|tbl","Tuple"
"ControlFlowNode for True","returnEmbed","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/createJsonFeats.py:0","sent","Tuple"
"ControlFlowNode for True","is_hdr_row_format","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|sheet|tbl_bound","False"
"ControlFlowNode for True","is_hdr_row_format","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|sheet|tbl_bound","True"
"ControlFlowNode for True","findDateRange","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|tbl","Tuple"
"ControlFlowNode for True","findDateRange","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|tbl","BinaryExpr"
"ControlFlowNode for True","findDateRange","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","self|tbl","Tuple"
"ControlFlowNode for True","findDateRange","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","self|tbl","BinaryExpr"
"ControlFlowNode for True","createDBRec","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","mode|self|summary_D","insertRec"
"ControlFlowNode for True","returnEntireSheet","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|sheet_name|tbl_","Tuple"
"ControlFlowNode for True","processNeighbours","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/findKeys.py:0","fileNm|json_|json_raw","key_tuples_"
"ControlFlowNode for True","xOverlap","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/findKeys.py:0","dist_|pts|ref_pts|ref_val|val","False"
